Labels,Affinity (kcal/mol)
A05B29,-10.1
A05B30,-9.6
A05B31,-9.2
A05B32,-9.2
A05B33,-9.6
A05B34,-8
A05B35,-9.7
A05B36,-8
A05B37,-7.3
A05B38,-10
A05B39,-7.3
A05B40,-9.5
A05B41,-9.6
A05B42,-9.6
A05B43,-9.4
A05B44,-9.4
A05B45,-9.7
A05B46,-9.4
A05B47,-9.7
A05B48,-10.2
A05B49,-7.3
A05B50,-9.1
A06B01,-9
A06B02,-9.7
A06B03,-10
A06B04,-10.3
A06B05,-9
A06B06,-8.8
A06B07,-9.8
A06B08,-10.6
A06B09,-8.4
A06B10,-10.5
A06B11,-10.4
A06B12,-10.1
A06B13,-9.2
A06B14,-9.7
A06B15,-9.8
A06B16,-9
A06B17,-10
A06B18,-10.5
A06B19,-10.3
A06B20,-11.1
A06B21,-9.8
A06B22,-8.3
A06B23,-10.6
A06B24,-9.1
A06B25,-10.3
A06B26,-10.2
A06B27,-10.2
A06B28,-9.5
A06B29,-10
A06B30,-10.7
A06B31,-9.9
A06B32,-10.1
A06B33,-10
A06B34,-9.3
A06B35,-10
A06B36,-8.1
A06B37,-8.9
A06B38,-10.3
A06B39,-9.2
A06B40,-9.7
A06B41,-10.1
A06B42,-10.9
A06B43,-10.2
A06B44,-9.8
A06B45,-9.8
A06B46,-10.2
A06B47,-9.9
A06B48,-10.1
A06B49,-9.2
A06B50,-9.2
A07B01,-10.1
A07B02,-10.5
A07B03,-10.5
A07B04,-10.7
A07B05,-10.7
A07B06,-10.7
A07B07,-10.7
A07B08,-11.3
A07B09,-8.5
A07B10,-10.8
A07B11,-11.1
A07B12,-10.4
A07B13,-9.8
A07B14,-8.5
A07B15,-10.4
A07B16,-9.6
A07B17,-10.4
A07B18,-10.6
A07B19,-10.5
A07B20,-11.6
A07B21,-8.7
A07B22,-8.7
A07B23,-11
A07B24,-7.4
A07B25,-10.6
A07B26,-10.6
A07B27,-10.4
A07B28,-9.9
A07B29,-10.7
A07B30,-10.7
A07B31,-10
A07B32,-9.7
A07B33,-10.7
A07B34,-7.9
A07B35,-9.1
A07B36,-9.2
A07B37,-8.7
A07B38,-11
A07B39,-9.5
A07B40,-10.4
A07B41,-10.5
A07B42,-10.6
A07B43,-10.2
A07B44,-9.8
A07B45,-10.9
A07B46,-10.8
A07B47,-10.3
A07B48,-10.7
A07B49,-9.6
A07B50,-9.9
A08B01,-10.8
A08B02,-11.3
A08B03,-10.8
A08B04,-11.6
A08B05,-11
A08B06,-10.2
A08B07,-11
A08B08,-11.2
A08B09,-10.5
A08B10,-11.4
A08B11,-11.9
A08B12,-10.9
A08B13,-10.2
A08B14,-10.4
A08B15,-10.7
A08B16,-10
A08B17,-11.3
A08B18,-11.7
A08B19,-11.5
A08B20,-12.4
A08B21,-8.5
A08B22,-10.6
A08B23,-11.7
A08B24,-9.7
A08B25,-11.4
A08B26,-11
A08B27,-11.3
A08B28,-10.5
A08B29,-11.6
A08B30,-11.2
A08B31,-10.6
A08B32,-10.7
A08B33,-11.6
A08B34,-10.8
A08B35,-11.2
A08B36,-9.8
A08B37,-10.1
A08B38,-11.5
A08B39,-10.4
A08B40,-11.2
A08B41,-10.3
A08B42,-11.4
A08B43,-11.8
A08B44,-11.3
A08B45,-11.1
A08B46,-11.3
A08B47,-11.4
A08B48,-11.4
A08B49,-10.4
A08B50,-10.7
A09B01,-10.4
A09B02,-10.3
A09B03,-10.3
A09B04,-10.5
A09B05,-9.1
A09B06,-8.4
A09B07,-10.2
A09B08,-10.9
A09B09,-8
A09B10,-10.4
A09B11,-10.7
A09B12,-10.5
A09B13,-8.1
A09B14,-10.2
A09B15,-10.4
A09B16,-9.6
A09B17,-10.2
A09B18,-10.4
A09B19,-10.6
A09B20,-11.5
A09B21,-9.3
A09B22,-8.2
A09B23,-10.8
A09B24,-8.1
A09B25,-10.9
A09B26,-10.8
A09B27,-10.1
A09B28,-10.1
A09B29,-10.5
A09B30,-11
A09B31,-10.5
A09B32,-10.3
A09B33,-10.3
A09B34,-8.7
A09B35,-8.8
A09B36,-7.5
A09B37,-9.2
A09B38,-10.8
A09B39,-10.4
A09B40,-10.1
A09B41,-10.3
A09B42,-11.2
A09B43,-11
A09B44,-10.6
A09B45,-10.4
A09B46,-10.2
A09B47,-10.2
A09B48,-10.7
A09B49,-9.4
A09B50,-9.8
A10B01,-9.4
A10B02,-10
A10B03,-10
A10B04,-10.3
A10B05,-9.1
A10B06,-8.7
A10B07,-10
A10B08,-10.5
A10B09,-9.1
A10B10,-10.4
A10B11,-10.3
A10B12,-10.3
A10B13,-9.9
A10B14,-9.9
A10B15,-10.4
A10B16,-9.7
A10B17,-10.2
A10B18,-10.2
A10B19,-10.1
A10B20,-10.9
A10B21,-9.1
A10B22,-7.7
A10B23,-10.5
A10B24,-10
A10B25,-10.4
A10B26,-10.3
A10B27,-10.5
A10B28,-9.6
A10B29,-10.1
A10B30,-10.4
A10B31,-7.9
A10B32,-10.1
A10B33,-9.6
A10B34,-9.3
A10B35,-8.6
A10B36,-7.3
A10B37,-7.4
A10B38,-10.2
A10B39,-9.6
A10B40,-9.7
A10B41,-10
A10B42,-10.7
A10B43,-10.7
A10B44,-10.2
A10B45,-9.7
A10B46,-10
A10B47,-9.9
A10B48,-10.4
A10B49,-7.9
A10B50,-7.9
A11B01,-9.8
A11B02,-10.1
A11B03,-10.2
A11B04,-10.2
A11B05,-10
A11B06,-8
A11B07,-9.7
A11B08,-10.9
A11B09,-8.5
A11B10,-10.5
A11B11,-10.3
A11B12,-10.1
A11B13,-9.1
A11B14,-9.5
A11B15,-9.9
A11B16,-6.9
A11B17,-9.9
A11B18,-10.3
A11B19,-10.2
A11B20,-11.2
A11B21,-8.8
A11B22,-8.5
A11B23,-10.7
A11B24,-9
A11B25,-10.5
A11B26,-9.9
A11B27,-10.1
A11B28,-9.6
A11B29,-10.4
A11B30,-10.5
A11B31,-7.3
A11B32,-9.5
A11B33,-10.2
A11B34,-8.7
A11B35,-8.4
A11B36,-8.2
A11B37,-8.8
A11B38,-10.4
A11B39,-9.4
A11B40,-9.8
A11B41,-10.1
A11B42,-11.4
A11B43,-10.3
A11B44,-9.7
A11B45,-10.5
A11B46,-10
A11B47,-10.3
A11B48,-10.5
A11B49,-8.6
A11B50,-8.7
A12B01,-10.3
A12B02,-10.7
A12B03,-10.5
A12B04,-10.6
A12B05,-10.1
A12B06,-9.5
A12B07,-10.4
A12B08,-10.9
A12B09,-8.4
A12B10,-10
A12B11,-10.2
A12B12,-9.9
A12B13,-8
A12B14,-9.1
A12B15,-10.6
A12B16,-8.7
A12B17,-10.5
A12B18,-10.1
A12B19,-10.5
A12B20,-11.7
A12B21,-8.6
A12B22,-9.2
A12B23,-10.7
A12B24,-7.7
A12B25,-10.7
A12B26,-8.8
A12B27,-10.7
A12B28,-9.8
A12B29,-10
A12B30,-10.9
A12B31,-8.7
A12B32,-9.2
A12B33,-10.4
A12B34,-8.7
A12B35,-10
A12B36,-7.9
A12B37,-7.8
A12B38,-10.4
A12B39,-8.9
A12B40,-10.3
A12B41,-10.6
A12B42,-11.4
A12B43,-9.6
A12B44,-10.2
A12B45,-10.9
A12B46,-10.6
A12B47,-10.1
A12B48,-11
A12B49,-9.3
A12B50,-9.1
A13B01,-9.7
A13B02,-10.2
A13B03,-10.3
A13B04,-10.3
A13B05,-10.4
A13B06,-9.8
A13B07,-9.8
A13B08,-10.8
A13B09,-8.6
A13B10,-10.6
A13B11,-10.7
A13B12,-10.2
A13B13,-9.4
A13B14,-9.8
A13B15,-10.1
A13B16,-8.6
A13B17,-10.3
A13B18,-10.3
A13B19,-10.5
A13B20,-11.2
A13B21,-9.1
A13B22,-7.3
A13B23,-10.8
A13B24,-9
A13B25,-10.4
A13B26,-10.2
A13B27,-10.4
A13B28,-9
A13B29,-10.4
A13B30,-10.8
A13B31,-9.6
A13B32,-9.8
A13B33,-9.9
A13B34,-9.3
A13B35,-10
A13B36,-8.6
A13B37,-8.6
A13B38,-10.3
A13B39,-7.4
A13B40,-9.9
A13B41,-10
A13B42,-11.3
A13B43,-10.4
A13B44,-9.8
A13B45,-10.2
A13B46,-9.4
A13B47,-10.4
A13B48,-10.7
A13B49,-6.5
A13B50,-8.7
A14B01,-9.6
A14B02,-10
A14B03,-9.9
A14B04,-9.9
A14B05,-10.2
A14B06,-9.1
A14B07,-9.6
A14B08,-10.4
A14B09,-9
A14B10,-10.1
A14B11,-9.9
A14B12,-9.8
A14B13,-7.7
A14B14,-9.5
A14B15,-9.7
A14B16,-8.8
A14B17,-9.2
A14B18,-9.8
A14B19,-9.8
A14B20,-10.4
A14B21,-9.2
A14B22,-8.3
A14B23,-10.3
A14B24,-9.4
A14B25,-10.1
A14B26,-10.1
A14B27,-10.1
A14B28,-8.3
A14B29,-9.2
A14B30,-10.1
A14B31,-9.8
A14B32,-9.7
A14B33,-9.8
A14B34,-8.9
A14B35,-8.4
A14B36,-8.7
A14B37,-8.8
A14B38,-9.9
A14B39,-7.9
A14B40,-9.7
A14B41,-9.6
A14B42,-10.5
A14B43,-10
A14B44,-9.9
A14B45,-10
A14B46,-9.9
A14B47,-10
A14B48,-10
A14B49,-9
A14B50,-8
A15B01,-9.9
A15B02,-10.5
A15B03,-10.3
A15B04,-10.8
A15B05,-10.8
A15B06,-9.3
A15B07,-10.1
A15B08,-11.1
A15B09,-9.2
A15B10,-10.4
A15B11,-9.4
A15B12,-10.4
A15B13,-9.9
A15B14,-9.9
A15B15,-10.1
A15B16,-9.4
A15B17,-10
A15B18,-9.9
A15B19,-10.2
A15B20,-10.8
A15B21,-9.9
A15B22,-9.1
A15B23,-10.7
A15B24,-9.6
A15B25,-10.9
A15B26,-10.3
A15B27,-10.4
A15B28,-9.5
A15B29,-10.3
A15B30,-10.4
A15B31,-10
A15B32,-9.5
A15B33,-10.1
A15B34,-8.3
A15B35,-9.2
A15B36,-8.4
A15B37,-9.9
A15B38,-9.8
A15B39,-8.9
A15B40,-9.9
A15B41,-10.4
A15B42,-10.9
A15B43,-10
A15B44,-10.3
A15B45,-10.5
A15B46,-10
A15B47,-10.5
A15B48,-10.5
A15B49,-8.2
A15B50,-9.5
A16B01,-9.5
A16B02,-9.4
A16B03,-9.5
A16B04,-9.2
A16B05,-9.3
A16B06,-9.7
A16B07,-10.1
A16B08,-10.1
A16B09,-10.1
A16B10,-10.1
A16B11,-9.8
A16B12,-9.8
A16B13,-8.9
A16B14,-8
A16B15,-8.9
A16B16,-7.1
A16B17,-9.9
A16B18,-9.9
A16B19,-10.2
A16B20,-10.2
A16B21,-10.2
A16B22,-10.2
A16B23,-10.2
A16B24,-8.1
A16B25,-8
A16B26,-9.4
A16B27,-7.2
A16B28,-6.8
A16B29,-10.1
A16B30,-10.6
A16B31,-9.6
A16B32,-9.8
A16B33,-10.1
A16B34,-7.9
A16B35,-7.3
A16B36,-8.5
A16B37,-8.6
A16B38,-10.4
A16B39,-10.4
A16B40,-10
A16B41,-10.1
A16B42,-10.2
A16B43,-10.1
A16B44,-10.1
A16B45,-10.4
A16B46,-10.2
A16B47,-10.1
A16B48,-10.1
A16B49,-7
A16B50,-9
A17B01,-10.1
A17B02,-10.5
A17B03,-9.7
A17B04,-10.6
A17B05,-8.9
A17B06,-9.6
A17B07,-10.2
A17B08,-10.6
A17B09,-9.4
A17B10,-10.4
A17B11,-10.5
A17B12,-10.3
A17B13,-9.4
A17B14,-9.8
A17B15,-10
A17B16,-9.3
A17B17,-10.2
A17B18,-10.6
A17B19,-10.4
A17B20,-10.5
A17B21,-8.9
A17B22,-9.3
A17B23,-10.8
A17B24,-9.8
A17B25,-10.2
A17B26,-9.3
A17B27,-10.2
A17B28,-9.8
A17B29,-10.4
A17B30,-10.5
A17B31,-9.9
A17B32,-10
A17B33,-10.2
A17B34,-9.6
A17B35,-8.9
A17B36,-8.8
A17B37,-8.5
A17B38,-10.4
A17B39,-8.9
A17B40,-10.1
A17B41,-10.5
A17B42,-10.7
A17B43,-9.4
A17B44,-10.3
A17B45,-10.4
A17B46,-9.2
A17B47,-9.7
A17B48,-10.8
A17B49,-8
A17B50,-8.8
A18B01,-9.7
A18B02,-10.4
A18B03,-10.2
A18B04,-10.2
A18B05,-8.4
A18B06,-8.8
A18B07,-10.1
A18B08,-10.5
A18B09,-9
A18B10,-10
A18B11,-9.2
A18B12,-10.1
A18B13,-10
A18B14,-9.7
A18B15,-10.1
A18B16,-7.2
A18B17,-9.9
A18B18,-10.3
A18B19,-10.2
A18B20,-9.8
A18B21,-8.8
A18B22,-7
A18B23,-10.8
A18B24,-7.3
A18B25,-10.5
A18B26,-10.4
A18B27,-10.6
A18B28,-9.9
A18B29,-10.3
A18B30,-10.8
A18B31,-9.2
A18B32,-9.7
A18B33,-9.8
A18B34,-8.7
A18B35,-8.4
A18B36,-8.2
A18B37,-7.6
A18B38,-7.3
A18B39,-9.5
A18B40,-10.1
A18B41,-10
A18B42,-10.8
A18B43,-10.1
A18B44,-10.5
A18B45,-10.2
A18B46,-7.7
A18B47,-9.7
A18B48,-10.5
A18B49,-9.8
A18B50,-9.7
A19B01,-9.9
A19B02,-10.2
A19B03,-9.3
A19B04,-10.2
A19B05,-10.1
A19B06,-8
A19B07,-10
A19B08,-10
A19B09,-8.7
A19B10,-10.1
A19B11,-9.9
A19B12,-9.7
A19B13,-8.5
A19B14,-9.3
A19B15,-9.9
A19B16,-8.5
A19B17,-10
A19B18,-8.7
A19B19,-10.2
A19B20,-11
A19B21,-8.8
A19B22,-8.6
A19B23,-10.2
A19B24,-9.9
A19B25,-10.2
A19B26,-10.3
A19B27,-10.3
A19B28,-9.5
A19B29,-9.3
A19B30,-9.8
A19B31,-8.4
A19B32,-9.7
A19B33,-9.8
A19B34,-8.9
A19B35,-9.4
A19B36,-7.5
A19B37,-6.8
A19B38,-10.2
A19B39,-9.3
A19B40,-9.9
A19B41,-10.1
A19B42,-10.9
A19B43,-10.1
A19B44,-10.3
A19B45,-10
A19B46,-10.1
A19B47,-9.7
A19B48,-10.1
A19B49,-9.3
A19B50,-9.4
A20B01,-9.6
A20B02,-9.8
A20B03,-10
A20B04,-10
A20B05,-8.5
A20B06,-8.8
A20B07,-10
A20B08,-10.2
A20B09,-9.3
A20B10,-10.2
A20B11,-10.7
A20B12,-9.5
A20B13,-9.3
A20B14,-9.1
A20B15,-9.8
A20B16,-9.2
A20B17,-9.5
A20B18,-10.7
A20B19,-10.1
A20B20,-9.9
A20B21,-9.6
A20B22,-8.5
A20B23,-10.5
A20B24,-7.9
A20B25,-10.3
A20B26,-10.1
A20B27,-10.2
A20B28,-9.1
A20B29,-9.5
A20B30,-10.4
A20B31,-9.7
A20B32,-8
A20B33,-9.9
A20B34,-8.1
A20B35,-8.6
A20B36,-7.5
A20B37,-8.6
A20B38,-10.4
A20B39,-7.4
A20B40,-9.9
A20B41,-9.9
A20B42,-10.9
A20B43,-10.1
A20B44,-10
A20B45,-10.4
A20B46,-9.6
A20B47,-9.5
A20B48,-10.2
A20B49,-9.4
A20B50,-8.8
A21B01,-10.6
A21B02,-11
A21B03,-10.3
A21B04,-11
A21B05,-11.3
A21B06,-11
A21B07,-10.6
A21B08,-11.4
A21B09,-9.8
A21B10,-10.8
A21B11,-10.8
A21B12,-10.5
A21B13,-10.5
A21B14,-10.1
A21B15,-10.8
A21B16,-9.7
A21B17,-10.4
A21B18,-10.7
A21B19,-10.7
A21B20,-11.8
A21B21,-10.3
A21B22,-9.3
A21B23,-11
A21B24,-9.5
A21B25,-10.9
A21B26,-10.9
A21B27,-11.1
A21B28,-9.9
A21B29,-10.8
A21B30,-11.1
A21B31,-11.2
A21B32,-10.1
A21B33,-11.1
A21B34,-9.5
A21B35,-10.5
A21B36,-9.3
A21B37,-10.1
A21B38,-11
A21B39,-9.3
A21B40,-10.9
A21B41,-9.7
A21B42,-10.7
A21B43,-11
A21B44,-10.7
A21B45,-10.8
A21B46,-10.8
A21B47,-11
A21B48,-11.3
A21B49,-10.3
A21B50,-9.5
A22B01,-10.5
A22B02,-10.9
A22B03,-11.1
A22B04,-11.3
A22B05,-10.8
A22B06,-10.8
A22B07,-10.9
A22B08,-11.8
A22B09,-9.7
A22B10,-11.4
A22B11,-11.1
A22B12,-11.1
A22B13,-9.4
A22B14,-10.5
A22B15,-10.8
A22B16,-9.2
A22B17,-10.6
A22B18,-11.3
A22B19,-11.3
A22B20,-10.7
A22B21,-9.7
A22B22,-9.5
A22B23,-11.6
A22B24,-9.5
A22B25,-11.4
A22B26,-11.1
A22B27,-11.1
A22B28,-10.1
A22B29,-11
A22B30,-11.1
A22B31,-9.2
A22B32,-10.5
A22B33,-10.9
A22B34,-9.3
A22B35,-10.3
A22B36,-8.9
A22B37,-9.7
A22B38,-10.7
A22B39,-9.6
A22B40,-11
A22B41,-10.8
A22B42,-11.8
A22B43,-11.1
A22B44,-10.7
A22B45,-10.9
A22B46,-11.2
A22B47,-11.2
A22B48,-11.5
A22B49,-9.8
A22B50,-10.2
A23B01,-9.7
A23B02,-10
A23B03,-7.9
A23B04,-10
A23B05,-8.6
A23B06,-8
A23B07,-9.6
A23B08,-10.1
A23B09,-8.9
A23B10,-10
A23B11,-10.3
A23B12,-9.2
A23B13,-6.9
A23B14,-9.8
A23B15,-9.9
A23B16,-6.9
A23B17,-9.9
A23B18,-9.9
A23B19,-9.8
A23B20,-11
A23B21,-8.4
A23B22,-7.4
A23B23,-10.2
A23B24,-7
A23B25,-10.2
A23B26,-7.8
A23B27,-10.2
A23B28,-7.3
A23B29,-10.1
A23B30,-9.8
A23B31,-9.8
A23B32,-9
A23B33,-9.7
A23B34,-7.5
A23B35,-9.5
A23B36,-7.1
A23B37,-9
A23B38,-9.7
A23B39,-7
A23B40,-9.5
A23B41,-9.9
A23B42,-10.6
A23B43,-9.9
A23B44,-9.7
A23B45,-9.7
A23B46,-9.7
A23B47,-9.7
A23B48,-10.2
A23B49,-9.3
A23B50,-8.7
A24B01,-9.8
A24B02,-10.2
A24B03,-10.3
A24B04,-10.1
A24B05,-10.2
A24B06,-8.1
A24B07,-9.9
A24B08,-10.4
A24B09,-8.8
A24B10,-10.4
A24B11,-9.9
A24B12,-9.9
A24B13,-9.6
A24B14,-9.8
A24B15,-9.9
A24B16,-6.8
A24B17,-9.9
A24B18,-9.8
A24B19,-10.5
A24B20,-10.9
A24B21,-8.5
A24B22,-7.3
A24B23,-10.5
A24B24,-9.5
A24B25,-9.1
A24B26,-10.2
A24B27,-9.8
A24B28,-7.7
A24B29,-9.9
A24B30,-10.5
A24B31,-7.8
A24B32,-7.4
A24B33,-9.9
A24B34,-7.3
A24B35,-9.5
A24B36,-9.1
A24B37,-7.6
A24B38,-10.3
A24B39,-7.2
A24B40,-9.9
A24B41,-10.4
A24B42,-11
A24B43,-10.1
A24B44,-9.9
A24B45,-10.1
A24B46,-9.9
A24B47,-9.9
A24B48,-10.4
A24B49,-8.8
A24B50,-9.6
A25B01,-9.9
A25B02,-9.6
A25B03,-10
A25B04,-10.4
A25B05,-8.9
A25B06,-8
A25B07,-10
A25B08,-11
A25B09,-8
A25B10,-10.2
A25B11,-10.4
A25B12,-9.9
A25B13,-8.2
A25B14,-8.7
A25B15,-9.3
A25B16,-7
A25B17,-10
A25B18,-10.4
A25B19,-10
A25B20,-11.5
A25B21,-8.6
A25B22,-7.4
A25B23,-9.5
A25B24,-7.9
A25B25,-10.9
A25B26,-8.5
A25B27,-10.3
A25B28,-7.9
A25B29,-10.3
A25B30,-8.4
A25B31,-9.5
A25B32,-9.1
A25B33,-10.1
A25B34,-7.8
A25B35,-9.1
A25B36,-8.6
A25B37,-7.3
A25B38,-10.2
A25B39,-7.3
A25B40,-10.1
A25B41,-7.9
A25B42,-11
A25B43,-8.4
A25B44,-9.6
A25B45,-10.4
A25B46,-10.4
A25B47,-9.9
A25B48,-10.9
A25B49,-8.8
A25B50,-7
A26B01,-10.3
A26B02,-10.3
A26B03,-10.3
A26B04,-10.5
A26B05,-11.1
A26B06,-10.2
A26B07,-10
A26B08,-10.6
A26B09,-8.3
A26B10,-10.4
A26B11,-10.4
A26B12,-10.4
A26B13,-8.2
A26B14,-10.5
A26B15,-10.6
A26B16,-7.7
A26B17,-10.4
A26B18,-10.8
A26B19,-10.6
A26B20,-11.5
A26B21,-9
A26B22,-8
A26B23,-10.7
A26B24,-9.8
A26B25,-10.7
A26B26,-10.9
A26B27,-10.7
A26B28,-10
A26B29,-10.5
A26B30,-10.7
A26B31,-10.3
A26B32,-8.5
A26B33,-10.3
A26B34,-9.5
A26B35,-9.1
A26B36,-7.9
A26B37,-7.9
A26B38,-10.7
A26B39,-10.3
A26B40,-10.2
A26B41,-9.9
A26B42,-11.1
A26B43,-10.9
A26B44,-8.7
A26B45,-9.6
A26B46,-10.2
A26B47,-10.4
A26B48,-10.9
A26B49,-10.1
A26B50,-9.5
A27B01,-10.2
A27B02,-10.8
A27B03,-10.6
A27B04,-10.7
A27B05,-9.4
A27B06,-9.8
A27B07,-10.3
A27B08,-10.6
A27B09,-8.5
A27B10,-10.7
A27B11,-10.1
A27B12,-10.6
A27B13,-8.2
A27B14,-9
A27B15,-10.4
A27B16,-9.5
A27B17,-10.3
A27B18,-10.8
A27B19,-10.7
A27B20,-11.6
A27B21,-9
A27B22,-8.8
A27B23,-11.1
A27B24,-9.9
A27B25,-9.6
A27B26,-10.1
A27B27,-10.7
A27B28,-9.5
A27B29,-10.5
A27B30,-10.9
A27B31,-8.3
A27B32,-10
A27B33,-10.1
A27B34,-8.1
A27B35,-10.2
A27B36,-8.5
A27B37,-8.2
A27B38,-10.9
A27B39,-8.6
A27B40,-10.2
A27B41,-10.5
A27B42,-10.9
A27B43,-10.4
A27B44,-10.4
A27B45,-10.4
A27B46,-10.4
A27B47,-10.7
A27B48,-10.9
A27B49,-8.9
A27B50,-9.6
A28B01,-10.2
A28B02,-11.3
A28B03,-11.2
A28B04,-11.6
A28B05,-11.3
A28B06,-10
A28B07,-10.7
A28B08,-11.8
A28B09,-9.8
A28B10,-11.9
A28B11,-11.7
A28B12,-11.1
A28B13,-10.1
A28B14,-10.7
A28B15,-11.4
A28B16,-9.6
A28B17,-10.9
A28B18,-11.6
A28B19,-11.4
A28B20,-12.1
A28B21,-9.8
A28B22,-10.3
A28B23,-12.1
A28B24,-10.5
A28B25,-11.4
A28B26,-11.2
A28B27,-11.4
A28B28,-10.4
A28B29,-11.8
A28B30,-11.1
A28B31,-11.2
A28B32,-9.4
A28B33,-11.6
A28B34,-9.6
A28B35,-10.7
A28B36,-9.6
A28B37,-9.8
A28B38,-12
A28B39,-10.2
A28B40,-10.9
A28B41,-11.4
A28B42,-12.4
A28B43,-11.6
A28B44,-11.2
A28B45,-11.8
A28B46,-10.9
A28B47,-11
A28B48,-11.9
A28B49,-10
A28B50,-9.9
A29B01,-10
A29B02,-10.5
A29B03,-10
A29B04,-10.3
A29B05,-10.6
A29B06,-9
A29B07,-10.2
A29B08,-10.4
A29B09,-7.5
A29B10,-10.6
A29B11,-9.9
A29B12,-10.2
A29B13,-7.3
A29B14,-10.4
A29B15,-10.1
A29B16,-7.5
A29B17,-10.2
A29B18,-10.4
A29B19,-9.2
A29B20,-10.2
A29B21,-8.7
A29B22,-7.4
A29B23,-10.6
A29B24,-7.5
